species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Creeping Inchplant,BYB_Recording_2024-02-20_20.02.17,0.4520536396686972,0.6883778078126023,0.6883778078126024,0.7532332750137783,0.9138972356206786,5.1654
Creeping Inchplant,BYB_Recording_2024-02-20_20.07.25,-0.38792643163151835,-0.03492286117731841,-0.03492286117731838,0.6647227056631829,-0.05253748800783992,6.679
Creeping Inchplant,BYB_Recording_2024-02-20_20.10.44,0.8575832011034095,-0.07706431595290883,-0.0770643159529088,0.6250326354830602,-0.12329646738101793,7.2754
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,0.842298760826411,0.4168162925103208,0.4168162925103207,0.6786367562962569,0.6141964587729475,1.3774
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,-0.04536880232611605,0.5528083689690767,0.5528083689690767,0.6287547344617067,0.8792114614331299,1.5686
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,0.8728919152758021,-0.13433055247466238,-0.1343305524746623,0.5126055110256981,-0.2620544445686383,2.4792
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,0.8291924555799824,0.25814794215976844,0.2581479421597685,0.6911807370653096,0.37348833426093603,1.5112
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,0.8794012478353282,0.6628344021864777,0.6628344021864777,0.7722177801349542,0.8583516454006531,1.4328
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,-0.6694448884539121,0.7168073915617824,0.7168073915617823,0.844450926789989,0.8488443423072338,0.8044
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,0.4306132981036607,0.5922672845802301,0.5922672845802303,0.853086465174167,0.6942640737587044,0.9504
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,0.9577976109726278,0.19237125480498293,0.1923712548049829,0.693724839321302,0.2773019559068797,4.1106
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,0.3296297713209098,0.6831824838806231,0.6831824838806231,0.8111108277608865,0.8422800688860038,0.6794
Hierbabuena,BYB_Recording_2024-02-22_17.09.43,0.9973639504418833,-0.09821120248347993,-0.09821120248347989,0.2994411760011962,-0.3279816216160184,4.0388
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,0.980034209037044,0.025548922014949255,0.025548922014949262,0.8078221543161254,0.03162691426379375,5.3234
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,0.984085252122207,0.5580437350932149,0.5580437350932148,0.5580437350932148,1.0,0.0
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,0.8357653366886899,0.5362206569014315,0.5362206569014315,0.7635346956602949,0.7022872175280979,2.6644
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,0.6313003789330889,0.33640419420395046,0.3364041942039503,0.5345889392287724,0.6292763832511492,2.1868
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,-0.4232071479486442,0.30397515924340657,0.3039751592434067,0.8409020180699069,0.3614870136013114,3.437
